#															
#	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
#E11_eV	E22_eV	E11_eV	E12_eV	E11_eV	EL1_eV	E11_eV	EL1*_eV	E11_eV	E22+G_eV	E11_eV	E22+2G_eV	E11_eV	ET1_eV	E11_eV	ET2_eV
0.973938132	1.459981889	0.973938132	1.416491682	0.973938132	1.375697001	0.973938132	1.495697001	0.973938132	1.656981889	0.973938132	1.853981889	0.973938132	1.501307444	0.973938132	1.693258903
0.949136365	1.463307773	0.949136365	1.401175662	0.949136365	1.342107221	0.949136365	1.462107221	0.949136365	1.660307773	0.949136365	1.857307773	0.949136365	1.484136176	0.949136365	1.671888919
0.912598354	1.460777587	0.912598354	1.375033541	0.912598354	1.292122647	0.912598354	1.412122647	0.912598354	1.657777587	0.912598354	1.854777587	0.912598354	1.455155336	0.912598354	1.636483609
0.869276854	1.446169707	0.869276854	1.33842627	0.869276854	1.232101765	0.869276854	1.352101765	0.869276854	1.643169707	0.869276854	1.840169707	0.869276854	1.415022641	0.869276854	1.588372321
0.868860316	1.65781983	0.868860316	1.465191765	0.868860316	1.25902754	0.868860316	1.37902754	0.868860316	1.85481983	0.868860316	2.05181983	0.868860316	1.547560401	0.868860316	1.73397363
0.865437693	1.625509683	0.865437693	1.443604601	0.865437693	1.25017309	0.865437693	1.37017309	0.865437693	1.822509683	0.865437693	2.019509683	0.865437693	1.524826518	0.865437693	1.708644541
0.857291802	1.567648571	0.857291802	1.403998882	0.857291802	1.231811159	0.857291802	1.351811159	0.857291802	1.764648571	0.857291802	1.961648571	0.857291802	1.483064079	0.857291802	1.662001106
0.842918286	1.494383695	0.842918286	1.351935136	0.842918286	1.203533076	0.842918286	1.323533076	0.842918286	1.691383695	0.842918286	1.888383695	0.842918286	1.428064925	0.842918286	1.600358658
0.821749338	1.415223705	0.821749338	1.293007311	0.821749338	1.166025828	0.821749338	1.286025828	0.821749338	1.612223705	0.821749338	1.809223705	0.821749338	1.365687903	0.821749338	1.530175559
0.894947764	1.361541476	0.894947764	1.316180259	0.894947764	1.260023938	0.894947764	1.380023938	0.894947764	1.558541476	0.894947764	1.755541476	0.894947764	1.393251896	0.894947764	1.567677179
0.882274295	1.362080339	0.882274295	1.307715458	0.882274295	1.242889085	0.882274295	1.362889085	0.882274295	1.559080339	0.882274295	1.756080339	0.882274295	1.383845247	0.882274295	1.55613898
0.858809652	1.360153764	0.858809652	1.290630187	0.858809652	1.210971359	0.858809652	1.330971359	0.858809652	1.557153764	0.858809652	1.754153764	0.858809652	1.364975437	0.858809652	1.533230474
0.827578992	1.35165546	0.827578992	1.265016169	0.827578992	1.168106442	0.827578992	1.288106442	0.827578992	1.54865546	0.827578992	1.74565546	0.827578992	1.336905298	0.827578992	1.499601746
0.791774123	1.333606455	0.791774123	1.231612566	0.791774123	1.118443755	0.791774123	1.238443755	0.791774123	1.530606455	0.791774123	1.727606455	0.791774123	1.300576155	0.791774123	1.456651646
0.801401281	1.514779639	0.801401281	1.345614219	0.801401281	1.153562987	0.801401281	1.273562987	0.801401281	1.711779639	0.801401281	1.908779639	0.801401281	1.419959468	0.801401281	1.588214505
0.796284326	1.480535836	0.796284326	1.321965625	0.796284326	1.142482373	0.796284326	1.262482373	0.796284326	1.677535836	0.796284326	1.874535836	0.796284326	1.39505188	0.796284326	1.560457614
0.786814735	1.429637798	0.786814735	1.285931376	0.786814735	1.123713015	0.786814735	1.243713015	0.786814735	1.626637798	0.786814735	1.823637798	0.786814735	1.357054346	0.786814735	1.518016857
0.772347404	1.368770308	0.772347404	1.241342052	0.772347404	1.097401183	0.772347404	1.217401183	0.772347404	1.565770308	0.772347404	1.762770308	0.772347404	1.309964516	0.772347404	1.465267988
0.752872985	1.303872982	0.752872985	1.191860934	0.752872985	1.064387304	0.752872985	1.184387304	0.752872985	1.500872982	0.752872985	1.697872982	0.752872985	1.257625068	0.752872985	1.406459687
